	reactome-id	wp-id
679	R-HSA-3229121	
680	R-HSA-3282872	
681	R-HSA-3858516	
682	R-HSA-3878781	
683	R-HSA-5357609	
684	R-HSA-3814836	
685	R-HSA-3229133	
686	R-HSA-3828062	
687	R-HSA-3785653	
688	R-HSA-3274531	
689	R-HSA-3296482	
690	R-HSA-3296469	
691	R-HSA-3359471	
692	R-HSA-3359463	
693	R-HSA-3359474	
694	R-HSA-3359469	
695	R-HSA-3359457	
696	R-HSA-3359454	
697	R-HSA-3359458	
698	R-HSA-3359462	
699	R-HSA-3359475	
700	R-HSA-3359467	
701	R-HSA-3359473	
702	R-HSA-3359478	
703	R-HSA-3359485	
704	R-HSA-5683329	
705	R-HSA-5683329	
706	R-HSA-3323169	
707	R-HSA-3371598	
708	R-HSA-3371599	
709	R-HSA-5687613	
710	R-HSA-5687583	
711	R-HSA-5619045	
712	R-HSA-5688399	
713	R-HSA-5688354	
714	R-HSA-5687868	
715	R-HSA-5688890	
716	R-HSA-5688849	
717	R-HSA-5688031	
718	R-HSA-5579029	
719	R-HSA-5579024	
720	R-HSA-5579006	
721	R-HSA-5579031	
722	R-HSA-5579005	
723	R-HSA-5579016	
724	R-HSA-5579007	
725	R-HSA-5579002	
726	R-HSA-5579028	
727	R-HSA-5578995	
728	R-HSA-5579032	
729	R-HSA-5578997	
730	R-HSA-5579011	
731	R-HSA-5579004	
732	R-HSA-5579009	
733	R-HSA-5579026	
734	R-HSA-5579013	
735	R-HSA-5579014	
736	R-HSA-5579010	
737	R-HSA-5579027	
738	R-HSA-5579019	
739	R-HSA-5579020	
740	R-HSA-5579030	
741	R-HSA-5579012	
742	R-HSA-5578998	
743	R-HSA-5579021	
744	R-HSA-5578999	
745	R-HSA-5579015	
746	R-HSA-5579022	
747	R-HSA-5579000	
748	R-HSA-5579017	
749	R-HSA-5578996	
750	R-HSA-2978092	WP3486
751	R-HSA-5619115	
752	R-HSA-5619102	
753	R-HSA-5619101	
754	R-HSA-5660686	
755	R-HSA-5619056	
756	R-HSA-5619079	
757	R-HSA-5659729	
758	R-HSA-5619095	
759	R-HSA-5619077	
760	R-HSA-5619076	
761	R-HSA-5619087	
762	R-HSA-5658208	
763	R-HSA-5660883	
764	R-HSA-5619047	
765	R-HSA-5619111	
766	R-HSA-5619071	
767	R-HSA-5619097	
768	R-HSA-3560792	
769	R-HSA-3560792	
770	R-HSA-5619062	
771	R-HSA-5619096	
772	R-HSA-5619083	
773	R-HSA-5663020	
774	R-HSA-5619037	
775	R-HSA-5619054	
776	R-HSA-5619048	
777	R-HSA-5619092	
778	R-HSA-5619085	
779	R-HSA-5619088	
780	R-HSA-5661182	
781	R-HSA-5619110	
782	R-HSA-5619098	
783	R-HSA-5659735	
784	R-HSA-5619044	
785	R-HSA-5619060	
786	R-HSA-5619081	
787	R-HSA-5660724	
788	R-HSA-5619089	
789	R-HSA-5619055	
790	R-HSA-5619067	
791	R-HSA-5619108	
792	R-HSA-5619109	
793	R-HSA-5619107	
794	R-HSA-5619072	
795	R-HSA-5619035	
796	R-HSA-5619041	
797	R-HSA-5619039	
798	R-HSA-5619046	
799	R-HSA-5619049	
800	R-HSA-5619061	
801	R-HSA-5619053	
802	R-HSA-5658471	
803	R-HSA-5619114	
804	R-HSA-5619036	
805	R-HSA-5619043	
806	R-HSA-5619073	
807	R-HSA-5619099	
808	R-HSA-5656364	
809	R-HSA-5660862	
810	R-HSA-5619113	
811	R-HSA-5619066	
812	R-HSA-5619070	
813	R-HSA-5619063	
814	R-HSA-5619040	
815	R-HSA-5619042	
816	R-HSA-5619050	
817	R-HSA-5619068	
818	R-HSA-5619052	
819	R-HSA-5619078	
820	R-HSA-5655799	
821	R-HSA-5619104	
822	R-HSA-5619094	
823	R-HSA-5619058	
824	R-HSA-5619084	
825	R-HSA-5679090	
826	R-HSA-5683371	
827	R-HSA-5678420	
828	R-HSA-5690338	
829	R-HSA-5678771	
830	R-HSA-5679001	
831	R-HSA-5682113	
832	R-HSA-5679096	
833	R-HSA-5678520	
834	R-HSA-5683177	
835	R-HSA-5683678	
836	R-HSA-5684045	
837	R-HSA-5678895	
838	R-HSA-5682294	
839	R-HSA-5663202	
840	R-HSA-1643713	
841	R-HSA-5637815	
842	R-HSA-1236382	
843	R-HSA-5637812	
844	R-HSA-5637810	
845	R-HSA-5638302	
846	R-HSA-5638303	
847	R-HSA-4791275	
848	R-HSA-5340573	
849	R-HSA-5340588	
850	R-HSA-5339716	
851	R-HSA-4839748	
852	R-HSA-5467343	
853	R-HSA-5467348	
854	R-HSA-5339700	
855	R-HSA-4839744	
856	R-HSA-5467337	
857	R-HSA-5467333	
858	R-HSA-4839735	
859	R-HSA-5467345	
860	R-HSA-5467340	
861	R-HSA-5339717	
862	R-HSA-5545619	
863	R-HSA-4839743	
864	R-HSA-5358751	
865	R-HSA-5358747	
866	R-HSA-5358749	
867	R-HSA-5358752	
868	R-HSA-2644603	
869	R-HSA-2894858	
870	R-HSA-2894862	
871	R-HSA-2644602	
872	R-HSA-2644606	
873	R-HSA-2691230	
874	R-HSA-2691232	
875	R-HSA-2660825	
876	R-HSA-2660826	
877	R-HSA-2644605	
878	R-HSA-2644607	
879	R-HSA-2474795	
880	R-HSA-2453864	
881	R-HSA-6809583	
882	R-HSA-3304351	
883	R-HSA-3304347	
884	R-HSA-3311021	
885	R-HSA-3304349	
886	R-HSA-3315487	
887	R-HSA-3304356	
888	R-HSA-3656534	
889	R-HSA-3656535	
890	R-HSA-3656532	
891	R-HSA-3642278	
892	R-HSA-3645790	
893	R-HSA-3642279	
894	R-HSA-5387390	
895	R-HSA-5658034	
896	R-HSA-5362768	
897	R-HSA-2219528	
898	R-HSA-5674404	
899	R-HSA-2219530	
900	R-HSA-5674400	
901	R-HSA-6802957	
902	R-HSA-6802953	
903	R-HSA-6802952	
904	R-HSA-6802946	
905	R-HSA-6802955	
906	R-HSA-6802949	
907	R-HSA-6802948	
908	R-HSA-1226099	
909	R-HSA-5655302	
910	R-HSA-1839124	
911	R-HSA-1839117	
912	R-HSA-8853336	
913	R-HSA-1839122	
914	R-HSA-1839120	
915	R-HSA-5655332	
916	R-HSA-8853338	
917	R-HSA-2033514	
918	R-HSA-1839130	
919	R-HSA-2033515	
920	R-HSA-8853334	
921	R-HSA-5655253	
922	R-HSA-1839126	
923	R-HSA-8853333	
924	R-HSA-8851708	
925	R-HSA-2033519	
926	R-HSA-2023837	
927	R-HSA-5655291	
928	R-HSA-1839128	
929	R-HSA-3781865	
930	R-HSA-3781860	
931	R-HSA-4720454	
932	R-HSA-4724289	
933	R-HSA-4793954	
934	R-HSA-4720489	
935	R-HSA-4724325	
936	R-HSA-4549349	
937	R-HSA-4793952	
938	R-HSA-4793950	
939	R-HSA-4687000	
940	R-HSA-4570571	
941	R-HSA-4793953	
942	R-HSA-3656244	
943	R-HSA-5633231	
944	R-HSA-4551295	
945	R-HSA-4549356	
946	R-HSA-4720475	
947	R-HSA-4549380	
948	R-HSA-3560782	
949	R-HSA-3560796	
950	R-HSA-3595177	
951	R-HSA-3560783	
952	R-HSA-3656253	
953	R-HSA-3656243	
954	R-HSA-3656225	
955	R-HSA-3656237	
956	R-HSA-3595172	
957	R-HSA-3560801	
958	R-HSA-4420332	
959	R-HSA-3595174	
960	R-HSA-5609975	
961	R-HSA-4341670	
962	R-HSA-4719360	
963	R-HSA-4043911	
964	R-HSA-5609978	
965	R-HSA-4717374	
966	R-HSA-4719377	
967	R-HSA-4755579	
968	R-HSA-4755609	
969	R-HSA-4085011	
970	R-HSA-4755583	
971	R-HSA-4085023	
972	R-HSA-4043916	
973	R-HSA-5609974	
974	R-HSA-5609977	
975	R-HSA-5609976	
976	R-HSA-3906995	
977	R-HSA-5083632	
978	R-HSA-5083627	
979	R-HSA-5083628	
980	R-HSA-5083633	
981	R-HSA-5083630	
982	R-HSA-5083625	
983	R-HSA-5083629	
984	R-HSA-5083635	
985	R-HSA-5083636	
986	R-HSA-5260271	
987	R-HSA-5602358	
988	R-HSA-5603037	
989	R-HSA-5602415	
990	R-HSA-5602410	
991	R-HSA-5603041	
992	R-HSA-5603029	
993	R-HSA-5603027	
994	R-HSA-5602636	
995	R-HSA-5602571	
996	R-HSA-5602680	
997	R-HSA-5602566	
998	R-HSA-5602498	
999	R-HSA-5663205	
